country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,76.6,77.9,76.2,76.2,79.8,77.2,77.2,77.4,77.3,77.3,77,80.2,79.9,78.9,80.5,79.8,80.8,79.8,81.6,80.4,80.1,80.4,80,79.9,79.8,79.8,79.8,79.7,79.7,79.8,79.8,79.9
Angola,63.7,63.6,63.6,63.5,63.4,63.3,63.2,63.1,63.1,63,63.1,63.3,63.2,63.2,64.8,66.4,68,69.6,71.3,73,74.9,74.9,74.9,74.8,74.7,74.3,73.9,73.6,73.3,72.9,72.6,72.3
Albania,61.1,60.9,58.8,58.9,59.3,60,60.6,60.7,60,60.2,59.8,59.7,58.9,58,57.1,56.3,56.3,55.5,56.4,53.8,55.1,56.9,51.7,51.6,54.1,54.8,55.6,54.7,54.7,54.7,54.7,54.6
United Arab Emirates,88.5,88.9,89.5,90.1,90.6,89.6,89.1,88.9,89.1,89.5,88.6,88.3,88.7,89.4,90.2,89.2,88.9,89.2,89.4,90.8,90.8,90.9,91.1,91.5,92,91.4,90.8,90.5,90.4,90.4,89.6,88.8
Argentina,71.5,70.8,68.9,67.5,62.7,63.3,65.5,66.5,65.3,64.8,62.2,60.1,65,66.6,68,69.3,70.1,69.7,68.8,69.1,69.8,69.6,69.4,68.7,68.7,67.4,67.5,67.6,67.6,67.3,66.9,66.6
Armenia,69.4,69.3,67.5,66.2,66.6,65.5,64.5,63.8,62,60.9,60,59,58.1,57.3,56.8,56.4,56.1,55.8,55.7,59.4,58.6,58.9,60.4,59.6,58,57.5,57.9,58.1,58.2,58.3,58.2,58.1
Australia,67.4,65.8,65.2,66.4,67.5,67.3,66.9,67.1,67.4,67.6,67.1,67.3,67.5,67.9,68.7,68.9,69.7,69.8,68.2,68.8,68.7,68.1,67.3,66.8,66.9,66.7,66.6,66.6,66.4,66.3,66.1,65.9
Austria,67.7,67.7,67.1,68,67.6,66,65.5,65.2,65.9,65.6,65.2,64.7,64.5,61.1,62.5,63,64.2,64.5,63.4,63.5,63.6,63.4,63.1,62.2,62,62,62.1,62,61.7,61.4,61.1,60.7
Azerbaijan,64.5,65.8,66.4,65.9,66,64.4,63.6,63.6,62.9,62.6,62.1,61.7,61.2,61.4,61.2,60.9,59.8,60.8,62.9,63.9,64.4,64.7,65.2,65.6,65.9,66.8,66.2,66,65.6,65.3,64.9,64.4
Burundi,88,87.4,86.7,86,85.1,84.4,83.6,82.7,81.9,81.1,80.4,79.8,79.3,78.8,78.4,78,77.6,77.2,76.9,76.6,76.2,75.9,75.6,75.1,75.5,75.8,75.9,75.9,75.9,75.9,75.7,75.5
Belgium,58.3,57.8,56.5,56.2,56.5,56.2,56.2,55.8,56.5,58.1,56.9,56.3,55.5,56,56.6,56.3,57.1,56.9,55.7,55.9,55.4,55.2,54.5,54,53.8,54.2,54.6,54.7,54.5,54.2,53.8,53.4
Benin,87.3,87.3,86.6,85.8,85,84.2,83.3,82.3,81.3,80.2,79.1,77.9,77.2,76.6,75.9,75.2,74.4,73.7,73,72.3,72,71.9,71.7,71.6,71.5,71.4,71.5,71.5,71.6,71.6,71.6,71.6
Burkina Faso,88.6,88.4,88.1,87.9,87.6,87.4,87.1,86.8,86.5,86.2,85.9,85.5,85.2,84.4,83.6,84,82.8,81.5,80.2,78.9,77.4,75.9,74.2,72.5,72.4,72.2,72.1,72,71.8,71.7,71.6,71.4
Bangladesh,86.3,86.1,85.8,85.6,85.4,85.3,85,84.6,84.4,84.1,83.9,83.6,82.9,83,83.2,83.6,82.5,81.8,80.7,81,80.3,79.7,78.9,78.4,77.8,77.3,77.2,77.1,77.1,77,77,76.9
Bulgaria,48.9,48.6,48,47.8,49.9,50.5,49.9,50.1,48.7,46.6,45,45.7,48,49.7,50.6,53.1,56,58.5,56.8,53.1,51.1,50.8,51.3,52.7,54.3,54.8,55.8,56.5,56.7,56.9,56.9,56.8
Bahrain,87,86.8,86.8,87,87.2,86.7,86.2,86,86,86.2,85.4,84.9,84.9,85.2,85.7,85.4,85.5,85.9,86.4,87,86.2,86.4,86.6,86.7,86.6,86.6,86.5,86.6,86.8,87.1,86.3,85.8
